dimensionless_burden_g_over_T0,R_at_fold
0.0001,0.9900995000124994
0.00010328281259410285,0.9899399428136822
0.0001066733937734857,0.9897778412726465
0.00011017528137883873,0.9896131557057343
0.0001137921293915315,0.9894458458396765
0.00011752771174629451,0.9892758708038137
0.00012138592626906277,0.989103189122247
0.0001253707987440921,0.988927758705924
0.0001294864871145905,0.988749536844654
0.00013373728582124963,0.9885684801990605
0.00013812763028320094,0.9883845447924652
0.00014266210152607368,0.9881976860027101
0.00014734543096198358,0.9880078585539146
0.0001521825053264387,0.9878150165081712
0.00015717837177731627,0.9876191132571805
0.00016233824316122782,0.9874201015138259
0.0001676675034527701,0.9872179333036909
0.00017317171337233545,0.9870125599565182
0.0001788566161883462,0.9868039320976163
0.00018472814370996341,0.9865919996392101
0.0001907924224765265,0.986376711771742
0.00019705578015018004,0.9861580169551213
0.00020352475211835779,0.9859358629099284
0.00021020608831301584,0.985710196608572
0.0002171067602537265,0.9854809642664031
0.0002242339683219845,0.9852481113327886
0.00023159514927431545,0.985011582482148
0.00023919798400202398,0.984771321604952
0.00024705040554568255,0.9845272717986899
0.00025516060737271835,0.9842793753588075
0.0002635370519267393,0.9840275737696179
0.00027218847945751794,0.9837718076951887
0.00028112391714084643,0.983512016970209
0.00029035268849778137,0.9832481405908415
0.00029988442312310306,0.9829801167055602
0.000309729066733141,0.9827078826059803
0.00031989689154345377,0.9824313747176837
0.0003303985069871858,0.9821505285910443
0.0003412448707852889,0.9818652788920571
0.00035244730038015877,0.9815755593931762
0.00036401748474461414,0.9812813029641683
0.0003759674965785468,0.9809824415629833
0.0003883098049059605,0.9806789062266507
0.0004010572880855496,0.9803706270622047
0.0004142232472483898,0.9800575332376483
0.0004278214201767617,0.9797395529729548
0.00044186599563859414,0.9794166135311211
0.00045637162819247586,0.979088641209276
0.0004713534534786907,0.9787555613298466
0.00048682710401222836,0.9784172982317996
0.000502808725494248,0.9780737752619523
0.0005193149936590213,0.9777249147663738
0.0005363631316739246,0.9773706380818737
0.0005539709281106401,0.977010865527594
0.0005721567555063251,0.9766455163967096
0.0005909395895340971,0.976274508948246
0.0006103390288028621,0.9758977603990251
0.0006303753153071281,0.9755151869157493
0.0006510693555481462,0.9751267036072309
0.0006724427423484249,0.9747322245167791
0.0006945177773823696,0.9743316626147588
0.0007173174944465613,0.9739249297913246
0.0007408656834939568,0.9735119368493489
0.0007651869154570826,0.9730925934975524
0.0007903065678861348,0.9726668083438498
0.0008162508514287228,0.9722344888889257
0.0008430468371788967,0.971795541520051
0.0008707224849239922,0.9713498715051547
0.0008993066723187623,0.9708973829871675
0.0009288292250172499,0.9704379789786484
0.000959320947793824,0.9699715613567118
0.0009908136566858666,0.9694980308582708
0.0010233402121916423,0.9690172870756124
0.0010569345535579883,0.9685292284523204
0.0010916317341936148,0.9680337522795657
0.0011274679582449472,0.9675307546927807
0.0011644806183726854,0.967020130668736
0.001202708334768512,0.966501774023038
0.0012421909954526175,0.9659755774080694
0.0012829697978941476,0.9654414323113905
0.0013250872919979538,0.9648992290546226
0.0013685874245025177,0.9643488567928377
0.0014135155848353958,0.9637902035144719
0.0014599186524739786,0.9632231560417899
0.0015078450458610511,0.9626476000319221
0.0015573447729261352,0.9620634199784986
0.0016084694832653567,0.9614704992139064
0.001661272522034293,0.960868719912192
0.0017158089856100047,0.9602579630926418
0.0017721357790803584,0.9596381086240616
0.001830311675620613,0.9590090352297868
0.0018903973778192215,0.9583706204934499
0.001952455581016861,0.9577227408655372
0.0020165510387247483,0.9570652716707632
0.0020827506301905143,0.9563980871162926
0.0021511234301821672,0.955721060300847
0.0022217407810628848,0.9550340632247227
0.002294676367231936,0.9543369668007579
0.0023700062920093304,0.9536296408662814
0.0024478091570444404,0.9529119541960797
0.0025281661443315004,0.9521837745164168
0.0026111611009174596,0.9514449685201479
0.0026968806263906924,0.9506954018829579
0.002785414163241769,0.949934939280772
0.0028768540901905944,0.9491634444083724
0.002971295818577334,0.9483807799992627
0.003068837891917642,0.9475868078468254
0.003169582088726115,0.9467813888268092
0.0032736335287152475,0.9459643829211948
0.0033811007824806854,0.9451356492434809
0.0034920959847872714,0.9442950460654355
0.0036067349515740317,0.9434424308453606
0.0037251373008002097,0.9425776602579162
0.003847426577258506,0.9417005902255512
0.003973730381485609,0.9408110759515905
0.004104180502904709,0.93990897195503
0.004238913057338783,0.938994132107086
0.004378068629038167,0.9380664096695555
0.004521792417370702,0.9371256573350346
0.004670234388327335,0.9361717272690531
0.004823549431001467,0.9352044711541759
0.004981897519205165,0.9342237402361255
0.005145443878390925,0.9332293853719864
0.005314359158053242,0.9322212570805382
0.005488819609789672,0.9311992055947843
0.005669007271207434,0.9301630809167256
0.005855110155867244,0.9291127328744421
0.006047322449462649,0.928048011181539
0.006245844712439618,0.9269687654990155
0.006450884089267693,0.9258748454996171
0.00666265452458115,0.9247661009347317
0.00688137698641567,0.9236423817038869
0.007107279696773419,0.9225035379269108
0.007340598369757212,0.9213494200188166
0.007581576457522118,0.9201798787674694
0.007830465404301183,0.9189947654140994
0.008087524908770457,0.9177939317367162
0.008353023195026779,0.9165772301364896
0.00862723729246145,0.9153445137271523
0.008910453324821523,0.9140956364274856
0.00920296680876041,0.9128304530569464
0.009505082962189512,0.9115488194344925
0.009817117022752193,0.9102505924806622
0.010139394576752917,0.9089356303229664
0.010472251898884354,0.9076037924046447
0.010816036303107105,0.9062549395968404
0.011171106505048241,0.9048889343142458
0.011537832996296609,0.9035056406342648
0.011916598430985588,0.9021049244197451
0.012307798025066659,0.900686653445321
0.012711839968690289,0.8992506975274126
0.013129145852124654,0.8977969286579207
0.013560151105656334,0.8963252211416539
0.014005305453932197,0.894835451737524
0.014465073385216472,0.8933274998035396
0.014939934636052577,0.8918012474456245
0.015430384691835646,0.890256579670283
0.015936935303817745,0.8886933845411334
0.016460115023085514,0.8871115533393206
0.01700046975206718,0.8855109807278181
0.01755856331414469,0.8838915649196213
