arrival_rate_over_lambda_sn,density_over_n_sn,branch,fixed_point_slope
0.001,0.0007156932507381797,stable,8.094615144236374e-05
0.001,1.3972466541616553,unstable,12353.891842664529
0.004341137123745819,0.0031077645520231414,stable,0.0003526051421017182
0.004341137123745819,1.3968680867151786,unstable,2836.033513408386
0.0076822742474916385,0.005501137891968444,stable,0.0006261339397116482
0.0076822742474916385,1.3964882172300415,unstable,1597.1023715163067
0.011023411371237458,0.007895821073859298,stable,0.000901548596645934
0.011023411371237458,1.3961070379029583,unstable,1109.2025473948927
0.014364548494983278,0.010291821970920606,stable,0.001178865343445504
0.014364548494983278,1.395724540860705,unstable,848.273304122532
0.017705685618729098,0.012689148527168664,stable,0.0014581005913063064
0.017705685618729098,1.3953407181592652,unstable,685.8237394335771
0.021046822742474915,0.015087808758276047,stable,0.001739270934609555
0.021046822742474915,1.3949555617829659,unstable,574.9535509972643
0.024387959866220735,0.017487810752450043,stable,0.0020223931534952247
0.024387959866220735,1.3945690636436,unstable,494.4636992424948
0.027729096989966555,0.019889162671324706,stable,0.002307484216479657
0.027729096989966555,1.3941812155795332,unstable,433.3724117626257
0.031070234113712375,0.02229187275086698,stable,0.002594561283118184
0.031070234113712375,1.393792009354799,unstable,385.42161501701537
0.034411371237458195,0.02469594930229704,stable,0.0028836417067136925
0.034411371237458195,1.393401436658177,unstable,346.78372062373387
0.037752508361204015,0.02710140071302318,stable,0.003174743037072064
0.037752508361204015,1.3930094891022589,unstable,314.98612275790373
0.04109364548494983,0.02950823544759151,stable,0.003467883023305456
0.04109364548494983,1.3926161582224985,unstable,288.3603608540467
0.04443478260869565,0.03191646204865071,stable,0.003763079616684417
0.04443478260869565,1.3922214354762477,unstable,265.73979343044743
0.04777591973244147,0.03432608913793222,stable,0.0040603509735398485
0.04777591973244147,1.391825312241774,unstable,246.2841282728341
0.05111705685618729,0.036737125417246115,stable,0.004359715458215831
0.05111705685618729,1.3914277798172683,unstable,229.3727674625019
0.05445819397993311,0.039149579669492944,stable,0.004661191646074399
0.05445819397993311,1.3910288294198292,unstable,214.53741359082667
0.05779933110367893,0.041563460759691855,stable,0.004964798326553345
0.05779933110367893,1.3906284521844383,unstable,201.41805048790008
0.06114046822742475,0.04397877763602547,stable,0.005270554506278148
