robot_count,headway_m,speed_m_per_s,direct_B_training,direct_B_per_robot,predicted_progeny_training,truncated_predicted_progeny_training,measured_progeny_held_out,held_out_relative_error,truncated_held_out_relative_error,mean_g_seconds_per_traversal,mean_treated_traversal_rate_per_s,mean_control_traversal_rate_per_s,mean_attributable_rate_loss_per_s,stopping_headway_margin_m,boundary_censored_phi_training,boundary_infinite_prediction_training,boundary_finite_prediction_training,unique_robots_per_primary_held_out,boundary_infinite_held_out_relative_error,boundary_finite_held_out_relative_error,training_resolved_cascades,training_fleet_saturated_cascades,finite_chain_boundary_identity,finite_chain_validation_status
8,7.5,1.2,0.14285714285714285,0.017857142857142856,1.1666666666666665,1.1666664642890536,1.1666666666666667,1.9032394707859825e-16,1.7346652552469824e-07,0.12426931181244756,0.1595059466097533,0.16000000000000505,0.0004940533902517465,5.732,0.14285714285714285,1.1666666666666665,1.1666664642890534,1.1666666666666667,1.9032394707859825e-16,1.734665257150222e-07,6,0,False,eligible_for_held_out_prediction
12,5.0,1.2,0.5,0.041666666666666664,2.0,1.99951171875,2.0,0.0,0.000244140625,0.09720993986070114,0.2390272610747177,0.24000000000000765,0.0009727389252899196,3.232,0.5,2.0,1.99951171875,2.0,0.0,0.000244140625,6,0,False,eligible_for_held_out_prediction
16,3.75,1.2,0.6470588235294118,0.04044117647058824,2.8333333333333335,2.830657876850212,3.5,0.19047619047619044,0.19124060661422515,0.06356979719600146,0.31865278375607636,0.3200000000000101,0.0013472162439337142,1.982,0.6470588235294118,2.8333333333333335,2.8306578768502133,3.5,0.19047619047619044,0.19124060661422476,6,0,False,eligible_for_held_out_prediction
20,3.0,1.2,0.8,0.04,5.000000000000001,4.942353924769659,5.166666666666667,0.03225806451612891,0.04341536939942092,0.0538976461928058,0.39773956828668355,0.4000000000000126,0.002260431713329116,1.232,0.8,5.000000000000001,4.942353924769659,5.166666666666667,0.03225806451612891,0.04341536939942092,6,0,False,eligible_for_held_out_prediction
24,2.5,1.2,0.896551724137931,0.03735632183908046,9.666666666666668,8.96345649356061,7.666666666666667,0.2608695652173914,0.1691464991600795,0.0445326541739598,0.4760908518877594,0.4800000000000153,0.0039091481122557155,0.732,0.896551724137931,9.666666666666668,8.96345649356061,7.666666666666667,0.2608695652173914,0.1691464991600795,6,0,False,eligible_for_held_out_prediction
28,2.142857142857143,1.2,0.9230769230769231,0.03296703296703297,13.000000000000009,11.617693414549063,18.5,0.2972972972972968,0.37201657218653716,0.03430244769901777,0.5536107195591397,0.5600000000000176,0.006389280440877998,0.3748571428571428,0.9230769230769231,13.000000000000009,11.617693414549063,18.5,0.2972972972972968,0.37201657218653716,6,0,False,eligible_for_held_out_prediction
32,1.875,1.2,0.96875,0.0302734375,32.0,20.414230743797876,32.0,0.0,0.36205528925631636,0.04424470897965921,0.6218766210746011,0.6400000000000202,0.018123378925419098,0.10699999999999998,1.0,,32.0,32.0,,0.0,0,6,True,descriptive_not_predictive
33,1.8181818181818181,1.2,0.9696969696969697,0.02938475665748393,33.00000000000003,21.04627643231803,33.0,8.612639221334548e-16,0.3622340475055142,0.06136060870982248,0.6332705418169114,0.6600000000000208,0.026729458183109577,0.050181818181818105,1.0,,33.0,33.0,,0.0,0,6,True,descriptive_not_predictive
