condition,crossing_count,rate_per_crossing_per_s,arrival_rate_per_s,mean_service_duration_s,per_crossing_offered_load,single_gate_overloaded,replications,dimensionless_burden_pooled,dimensionless_burden_mean,dimensionless_burden_ci_low,dimensionless_burden_ci_high,analytic_x_ceiling_mean,coverage_status,treated_completion_rate_mean,treated_completion_rate_ci_low,treated_completion_rate_ci_high,control_completion_rate_mean,control_completion_rate_ci_low,control_completion_rate_ci_high,completion_rate_loss_mean,mean_active_crossings,algebraic_identity_fraction,complete_primary_cohorts,unresolved_primary_cohorts,fold_claim_status
K01_base,1,0.025,0.8,3.0,0.07500000000000001,False,6,0.004674656390731021,0.004685266038126784,0.0022061097271779974,0.007192103209675824,0.05918032786885246,flat_shelf,0.6255555555555555,0.6099722222222221,0.6422222222222222,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.04777777777777779,0.07305555555555555,0.8333333333333334,11,0,not_tested_no_independently_observed_fold
K02_dist,2,0.05,0.8,3.0,0.15000000000000002,False,6,0.021275277825195477,0.021231382822926897,0.01312627916397077,0.029162365784089594,0.11836065573770492,extended_but_below_target,0.5433333333333333,0.5144444444444445,0.5822222222222222,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.13,0.26875,1.0,53,0,not_tested_no_independently_observed_fold
K04_dist,4,0.05,0.8,3.0,0.15000000000000002,False,6,0.03745079985897751,0.03742513994393021,0.03246232652654002,0.0422676148800168,0.23672131147540984,extended_but_below_target,0.44222222222222224,0.41222222222222227,0.4711111111111112,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.23111111111111113,0.5530555555555555,1.0,94,0,not_tested_no_independently_observed_fold
K08_dist,8,0.05,0.8,3.0,0.15000000000000002,False,6,0.07414829239816595,0.07416697513941034,0.06914699977321025,0.0786883749018047,0.4734426229508197,extended_but_below_target,0.3355555555555556,0.31330555555555556,0.3611111111111111,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.33777777777777773,1.1983333333333335,1.0,181,0,not_tested_no_independently_observed_fold
K12_dist,12,0.05,0.8,3.0,0.15000000000000002,False,6,0.11441242063418228,0.11441404169982888,0.1050708371116931,0.12420180957964941,0.7101639344262295,target_domain_reached,0.2811111111111111,0.2644444444444445,0.29444444444444445,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.39222222222222225,1.8373611111111112,1.0,301,0,not_tested_no_independently_observed_fold
K16_dist,16,0.05,0.8,3.0,0.15000000000000002,False,6,0.13475225678816552,0.13479944486690432,0.12011938884517426,0.15100511177240605,0.9468852459016394,target_domain_reached,0.17888888888888888,0.15,0.21333333333333335,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.49444444444444446,2.4745833333333334,1.0,330,0,not_tested_no_independently_observed_fold
K16_dense,16,0.1,0.8,3.0,0.30000000000000004,False,6,0.11321687809796935,0.11309196553787697,0.08498306968016835,0.14439474105187047,0.9468852459016394,target_domain_reached,0.03777777777777778,0.02666666666666667,0.04888888888888889,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6355555555555555,4.6994444444444445,1.0,317,0,not_tested_no_independently_observed_fold
K16_midload,16,0.05,0.35,3.0,0.15000000000000002,False,6,0.230452163419944,0.2334007149382575,0.1972940582080002,0.27521893755884586,1.621577828894902,target_domain_reached,0.1722222222222222,0.14666666666666667,0.19555555555555557,0.37777777777777777,0.3544444444444445,0.40222222222222226,0.20555555555555557,2.2904166666666668,1.0,302,3,not_tested_no_independently_observed_fold
K16_long,16,0.025,0.2,10.0,0.25,False,6,0.49613685463654433,0.55195329365031,0.40749257014825196,0.7094562598583593,3.311486451842168,target_domain_reached,0.06444444444444444,0.044444444444444446,0.08444444444444445,0.21666666666666665,0.18888888888888888,0.24666666666666667,0.15222222222222223,3.720555555555556,1.0,135,3,not_tested_no_independently_observed_fold
K16_extreme,16,0.025,0.1,10.0,0.25,False,6,0.9107542541577597,1.0236830484033865,0.7246541400673995,1.3392408864142986,7.603223443223443,target_domain_reached,0.05555555555555555,0.04222222222222222,0.07,0.09000000000000001,0.07444444444444444,0.10111111111111111,0.03444444444444445,3.724583333333333,1.0,110,0,not_tested_no_independently_observed_fold
