profile,map,fleet_size,target_route_length_m,total_arrival_rate_per_s,replications,inference_status,causal_events,direct_edges,mean_treated_throughput_per_s,mean_control_throughput_per_s,mean_completion_loss,grouped_rho,active_interval_rho_ablation,rho_ci_lower,rho_ci_upper,regime_verdict,G_star,non_normality,zero_lag_fraction,gamma_bound_entries,mean_x_primary_fleet,mean_x_total_fleet,mean_x_primary_fleet_post_warmup,mean_x_total_fleet_post_warmup,mean_work_in_process,realized_density_robots_per_m,mean_lane_headway_m,fold_R_prediction,all_safety_invariants_pass
quick,two_to_one_merge,50,60.0,0.4,2,insufficient_events,0,0,0.18803418803418803,0.23076923076923078,6.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.432203389830505,0.278601694915253,3.5897044398793496,1.0,True
quick,two_to_one_merge,50,60.0,0.7,2,insufficient_events,0,0,0.19658119658119658,0.23076923076923078,6.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.33050847457628,0.41108757062146706,2.4325717948627252,1.0,True
quick,two_to_one_merge,50,60.0,1.0,2,insufficient_events,0,0,0.1923076923076923,0.23076923076923078,4.5,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.99152542372882,0.4165960451977382,2.4004069175991973,1.0,True
quick,two_to_one_merge,100,100.0,0.4,2,estimable,66,64,0.18376068376068377,0.23076923076923078,5.5,1.0259656244123763,2.2411023118359132,,,insufficient_clusters,,0.11678235756829553,0.0,0,0.001974702364852871,0.9143387623448863,0.0,0.8679250742569105,39.58474576271186,0.19792372881355685,5.052596030657124,0.9574932251604859,True
quick,two_to_one_merge,100,100.0,0.7,2,estimable,118,116,0.18376068376068377,0.23076923076923078,5.5,0.977777781248915,0.9790890907314467,,,insufficient_clusters,67.05991021881682,0.0005393927291179823,0.0,0,0.003497429090629727,2.414999582976022,0.0,2.289056989114753,75.13559322033899,0.37567796610169024,2.66208199082661,0.9442550363226658,True
quick,two_to_one_merge,100,100.0,1.0,2,estimable,105,103,0.16666666666666669,0.23076923076923078,7.5,0.995764717055168,1.3401154427664188,,,insufficient_clusters,352.54086103271607,0.036740942658698005,0.009708737864077669,0,0.003193126300146235,3.483684423165002,0.0,3.231551465349097,90.62711864406779,0.45313559322033337,2.2068580046897397,0.9465952256702208,True
quick,two_to_one_merge,200,200.0,0.4,2,insufficient_events,0,0,0.10455913900957256,0.1370085269780606,4.5,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.0,0.13499999999999895,7.407407925828556,1.0,True
quick,two_to_one_merge,200,200.0,0.7,2,insufficient_events,0,0,0.10816462656162679,0.1370085269780606,4.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,97.25714285714287,0.24314285714285527,4.112809880409573,1.0,True
quick,two_to_one_merge,200,200.0,1.0,2,insufficient_events,0,0,0.10816462656162679,0.1370085269780606,4.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,103.32857142857142,0.2583214285714266,3.871149761527234,1.0,True
quick,four_way_intersection,50,60.0,0.4,2,insufficient_events,0,0,0.1923076923076923,0.3162393162393162,17.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.59322033898305,0.27994350282485825,3.5723539554374844,1.0,True
quick,four_way_intersection,50,60.0,0.7,2,insufficient_events,0,0,0.20512820512820512,0.3162393162393162,15.5,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.26271186440678,0.4105225988700557,2.4359195628843824,1.0,True
quick,four_way_intersection,50,60.0,1.0,2,insufficient_events,0,0,0.20940170940170938,0.3162393162393162,15.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.99152542372882,0.4165960451977393,2.4004069175991907,1.0,True
quick,four_way_intersection,100,100.0,0.4,2,insufficient_events,2,0,0.1752136752136752,0.29914529914529914,14.5,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.001219124532056134,0.001219124532056134,0.0,0.0,39.95762711864407,0.19978813559322003,5.010172170468871,0.9662818837039542,True
quick,four_way_intersection,100,100.0,0.7,2,insufficient_events,1,0,0.20085470085470086,0.29914529914529914,11.5,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,2.6824053228882452e-05,2.6824053228882452e-05,0.0,0.0,74.77118644067797,0.37385593220338925,2.6748329632825,0.9948475603257562,True
quick,four_way_intersection,100,100.0,1.0,2,insufficient_events,1,0,0.19658119658119658,0.29914529914529914,12.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,1.3304185402758785e-05,1.3304185402758785e-05,0.0,0.0,93.09322033898306,0.46546610169491454,2.148384178022247,0.9963657896338062,True
quick,four_way_intersection,200,200.0,0.4,2,estimable,68,66,0.12113870381586915,0.18843798371357423,10.0,0.973001172995136,0.9761272754134881,,,insufficient_clusters,64.06890897787171,0.001071609163298238,0.0,0,0.0029473929236488467,0.4784890473763084,0.00012105576246633823,0.47384520051537216,57.913333333333334,0.1447833333333321,6.906872429501778,0.9485775478926465,True
quick,four_way_intersection,200,200.0,0.7,2,estimable,69,68,0.12786863180563965,0.18170805572380372,8.0,1.0081925318506286,1.0081925318506286,,,insufficient_clusters,,0.0010724593623520416,0.0,0,0.0011334186840351685,0.7101358757295158,0.0,0.7064563081451813,104.43333333333334,0.2610833333333311,3.830302231262947,0.9674480610052382,True
quick,four_way_intersection,200,200.0,1.0,2,insufficient_events,0,0,0.13459855979541016,0.18170805572380372,7.0,0.0,0.0,,,insufficient_clusters,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,149.44,0.3735999999999968,2.676681348186401,1.0,True
