profile,arrival_rate_per_s,parent_type,child_type,grouped_B,grouped_gamma_per_s,continuous_B,continuous_gamma_per_s,active_interval_B,active_interval_gamma_per_s,direct_children,kernel_exposure,identifiable
quick,0.2,0,0,0.11111196028478676,1.7234501317213884,0.11111176656028231,1.7999138770971823,0.1114261977278884,1.7010114642858418,9,80.99938095712153,True
quick,0.2,0,1,0.26100154880596393,0.347698774870159,0.26099863679529783,0.35080595271111503,1.414865640826946,0.050000002605661495,21,80.45929265964627,True
quick,0.2,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0,152.6734937297894,False
quick,0.2,1,1,0.05244206919890707,0.9114166314371267,0.0524544626840087,0.9328353851086696,0.2473829410033398,0.13354147786089268,8,152.54928194493755,True
quick,0.35,0,0,0.4320563759758393,2.151089267530233,0.4320561686049377,2.2710410510709376,0.43221129444328027,2.1465451657979155,124,286.99958360742744,True
quick,0.35,0,1,0.4156881495879353,0.5192226586354294,0.4156769435188743,0.5261120366156841,0.6132276364479479,0.2475105596459985,119,286.2722935882649,True
quick,0.35,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0,391.70541690841833,False
quick,0.35,1,1,0.5274561813655712,1.4984298760879593,0.5275423105008173,1.556417470246351,0.6840735163542437,1.0999951460216943,207,392.4496618166121,True
quick,0.5,0,0,0.6617886817634767,3.8287629390876496,0.6617886465851046,4.219801154916766,0.6621795546314833,3.8236233461806033,407,614.9999406388486,True
quick,0.5,0,1,0.20355117006594825,0.7129193118632239,0.20354568356075303,0.7258956207803633,0.2159880174475092,0.6057045217748737,125,614.0961997884926,True
quick,0.5,1,0,0.0025639819519581203,0.8144025522748213,0.0025639819718333494,0.8312868636677987,0.0047515821073621034,0.3809723348032226,2,780.0366919402824,True
quick,0.5,1,1,0.7964310219177578,3.9504161852778785,0.7964278089574593,4.36766613565623,0.8567812267776723,3.6810856878184244,622,780.9841441161616,True
quick,0.7,0,0,0.6720000028400392,5.038411359342467,0.672000000646992,5.729877124041714,0.6723524349030442,5.033633628556842,420,624.9999973585944,True
quick,0.7,0,1,0.1985469372523002,0.8623605380094601,0.19854247332322214,0.8813327880447454,0.20366017048784452,0.7958756070359304,124,624.5374605926511,True
quick,0.7,1,0,0.0011933558032020263,19.999998671044366,0.0011934217579368498,19.999998671044366,0.0012001768067035463,19.999998671044366,1,837.9730482030492,True
quick,0.7,1,1,0.8069075784165949,3.9961956283124045,0.807079446820587,4.424298612881019,0.8542772091460817,3.7742336809704295,675,836.5270299289557,True
