profile,arrival_rate_per_s,rollouts,logged_intervention_events,causal_events,direct_edges,zero_lag_edges,zero_lag_fraction,grouped_rho,continuous_rho_ablation,active_interval_rho_ablation,rho_model_difference,gamma_bound_entries,non_normality,G_star,heldout_roots,heldout_events,heldout_mean_progeny,training_resolvent_prediction,heldout_relative_error
quick,0.2,6,272,235,38,9,0.23684210526315788,0.11111196028478676,0.11111176656028231,0.2473829410033398,1.937245044519864e-07,0,1.1865575409921367,1.4348787227092326,88,106,1.2045454545454546,1.2144700479850463,0.008239285119661061
quick,0.35,6,1379,681,450,234,0.52,0.5274561813655712,0.5275423105008173,0.6840735163542437,-8.612913524619348e-05,0,0.39318229084852857,3.3096272592033484,111,336,3.027027027027027,2.904366732464548,0.040521704453676116
quick,0.5,6,3787,1396,1156,885,0.7655709342560554,0.8002016338333647,0.800198406236219,0.8619193359335844,3.22759714577181e-06,0,0.06283361765760014,5.9583704929093635,116,639,5.508620689655173,6.213609204857443,0.12797913578006787
quick,0.7,6,4018,1463,1220,951,0.7795081967213114,0.8086415830975384,0.8088113564717279,0.8556109979145414,-0.00016977337418944138,1,0.05890166153983378,6.206903994965705,118,693,5.872881355932203,6.237741138729093,0.06212619678215436
