profile,map,fleet_size,target_route_length_m,total_arrival_rate_per_s,replication,duration_s,treated_throughput_per_s,control_throughput_per_s,completion_loss,causal_events,primary_events,x_primary_fleet,x_total_fleet,x_primary_fleet_post_warmup,x_total_fleet_post_warmup,mean_work_in_process,realized_density_robots_per_m,mean_lane_headway_m,nominal_T0_s,max_abs_yaw_rate,max_abs_yaw_acceleration,max_lateral_acceleration,max_abs_wheel_speed,collision_count,conflict_violation_count,disturbance_violation_count
quick,two_to_one_merge,50,60.0,0.4,0,180.0,0.19658119658119658,0.23076923076923078,5,0,0,0.0,0.0,0.0,0.0,33.76271186440678,0.28135593220338856,3.5542168674698957,40.000000000000185,0.1970833449568469,0.2708968017373581,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,50,60.0,0.4,1,180.0,0.1794871794871795,0.23076923076923078,7,0,0,0.0,0.0,0.0,0.0,33.101694915254235,0.2758474576271174,3.6251920122888035,40.000000000000185,0.1970833449568469,0.2708968017373581,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,50,60.0,0.7,0,180.0,0.20512820512820512,0.23076923076923078,5,0,0,0.0,0.0,0.0,0.0,49.32203389830509,0.4110169491525405,2.432989690721661,40.000000000000185,0.1970833449568469,0.27041181840322226,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,50,60.0,0.7,1,180.0,0.18803418803418803,0.23076923076923078,7,0,0,0.0,0.0,0.0,0.0,49.33898305084746,0.4111581920903936,2.43215389900379,40.000000000000185,0.1970833449568469,0.27041181840322226,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,50,60.0,1.0,0,180.0,0.18803418803418803,0.23076923076923078,5,0,0,0.0,0.0,0.0,0.0,50.0,0.41666666666666474,2.400000000000011,40.000000000000185,0.1970833449568469,0.2606177947626037,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,50,60.0,1.0,1,180.0,0.19658119658119658,0.23076923076923078,4,0,0,0.0,0.0,0.0,0.0,49.983050847457626,0.41652542372881163,2.4008138351983837,40.000000000000185,0.1970833449568469,0.2606177947626037,0.29562501743527037,1.55124166968878,0,0,0
quick,two_to_one_merge,100,100.0,0.4,0,180.0,0.18803418803418803,0.23076923076923078,5,33,1,0.001471979212628407,0.9098055232837349,0.0,0.8611444871453263,39.79661016949152,0.19898305084745516,5.025553662691715,66.66666666666748,0.19768951404776874,0.2841139090838418,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,100,100.0,0.4,1,180.0,0.1794871794871795,0.23076923076923078,6,33,1,0.0024774255170773346,0.9188720014060378,0.0,0.8747056613684946,39.3728813559322,0.19686440677965858,5.079638398622534,66.66666666666748,0.19768951404776874,0.2841139090838418,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,100,100.0,0.7,0,180.0,0.18803418803418803,0.23076923076923078,5,59,1,0.0036602795885533478,2.3716047623259207,0.0,2.2403716534320206,75.83050847457628,0.3791525423728767,2.637460885114024,66.66666666666748,0.19768951404776874,0.2835363219784892,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,100,100.0,0.7,1,180.0,0.1794871794871795,0.23076923076923078,6,59,1,0.0033345785927061064,2.458394403626123,0.0,2.3377423247974853,74.44067796610169,0.37220338983050383,2.6867030965391954,66.66666666666748,0.19768951404776874,0.2835363219784892,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,100,100.0,1.0,0,180.0,0.17094017094017094,0.23076923076923078,7,47,1,0.004851307548171514,3.1981158539401027,0.0,2.942951313928669,90.84745762711864,0.4542372881355876,2.20149253731346,66.66666666666748,0.19768951404776874,0.2702561456116226,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,100,100.0,1.0,1,180.0,0.1623931623931624,0.23076923076923078,8,58,1,0.0015349450521209551,3.769252992389901,0.0,3.520151616769525,90.40677966101696,0.4520338983050792,2.212223472066019,66.66666666666748,0.19768951404776874,0.2702561456116226,0.2965342710716531,1.5513992736524198,0,0,0
quick,two_to_one_merge,200,200.0,0.4,0,213.35000000000002,0.10816462656162679,0.1370085269780606,4,0,0,0.0,0.0,0.0,0.0,54.01428571428571,0.13503571428571323,7.405448294102147,133.33333333333434,0.19797130562213272,0.27750703363061624,0.2969569584331991,1.5514725394617543,0,0,0
quick,two_to_one_merge,200,200.0,0.4,1,213.35000000000002,0.10095365145751833,0.1370085269780606,5,0,0,0.0,0.0,0.0,0.0,53.98571428571429,0.13496428571428468,7.409367557554965,133.33333333333434,0.19797130562213272,0.27750703363061624,0.2969569584331991,1.5514725394617543,0,0,0
quick,two_to_one_merge,200,200.0,0.7,0,213.35000000000002,0.10816462656162679,0.1370085269780606,4,0,0,0.0,0.0,0.0,0.0,97.31428571428572,0.2432857142857124,4.110393423370554,133.33333333333434,0.19797130562213272,0.2769779962752228,0.2969569584331991,1.5514725394617543,0,0,0
quick,two_to_one_merge,200,200.0,0.7,1,213.35000000000002,0.10816462656162679,0.1370085269780606,4,0,0,0.0,0.0,0.0,0.0,97.2,0.24299999999999813,4.115226337448592,133.33333333333434,0.19797130562213272,0.2769779962752228,0.2969569584331991,1.5514725394617543,0,0,0
