profile,map,fleet_size,total_arrival_rate_per_s,parent_type,child_type,grouped_B,grouped_gamma_per_s,active_interval_B,active_interval_gamma_per_s,direct_children,kernel_exposure,identifiable
quick,four_way_intersection,100,0.7,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,100,0.7,1,0,0.0,1.0,0.0,1.0,0,1.0,False
quick,four_way_intersection,100,0.7,1,1,0.0,1.0,0.0,1.0,0,1.0,False
quick,four_way_intersection,100,1.0,0,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,100,1.0,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,100,1.0,1,0,0.0,1.0,0.0,1.0,0,1.0,False
quick,four_way_intersection,100,1.0,1,1,0.0,1.0,0.0,1.0,0,1.0,False
quick,four_way_intersection,200,0.4,0,0,0.9629802219561864,0.21506695442249318,0.9761272754134881,0.20828179512890904,52,53.99903218611056,True
quick,four_way_intersection,200,0.4,0,1,0.03703744419207094,0.2272524565685545,0.037477520758417565,0.2207378210733659,2,53.999406374486405,True
quick,four_way_intersection,200,0.4,1,0,0.0,1.0,0.0,1.0,0,13.977374385010682,False
quick,four_way_intersection,200,0.4,1,1,0.973001172995136,0.1690497574134003,0.973001172995136,0.1690497574134003,12,12.332975882301415,True
quick,four_way_intersection,200,0.7,0,0,0.9696969696969697,0.4380736369415638,0.9711530654954076,0.43569652464601966,32,33.0,True
quick,four_way_intersection,200,0.7,0,1,0.030303030303030304,0.4123857279228676,0.030359543418702326,0.4097449699063263,1,33.0,True
quick,four_way_intersection,200,0.7,1,0,0.0,1.0,0.0,1.0,0,35.36546450919195,False
quick,four_way_intersection,200,0.7,1,1,1.0081925318506286,0.4066476000027685,1.0081925318506286,0.4066476000027685,35,34.71559141164668,True
quick,four_way_intersection,200,1.0,0,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,200,1.0,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,200,1.0,1,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,four_way_intersection,200,1.0,1,1,0.0,1.0,0.0,1.0,0,0.0,False
